ZIP,Territory_Name,Region_Name
10162,"Manhattan, NY",East
10163,"Manhattan, NY",East
10164,"Manhattan, NY",East
10165,"Manhattan, NY",East
10166,"Manhattan, NY",East
10167,"Manhattan, NY",East
10168,"Manhattan, NY",East
10169,"Manhattan, NY",East
10170,"Manhattan, NY",East
10171,"Manhattan, NY",East
10172,"Manhattan, NY",East
10173,"Manhattan, NY",East
10174,"Manhattan, NY",East
10175,"Manhattan, NY",East
10176,"Manhattan, NY",East
10177,"Manhattan, NY",East
10178,"Manhattan, NY",East
10179,"Manhattan, NY",East
10185,"Manhattan, NY",East
10199,"Manhattan, NY",East
10203,"Manhattan, NY",East
10211,"Manhattan, NY",East
10212,"Manhattan, NY",East
10213,"Manhattan, NY",East
10242,"Manhattan, NY",East
10249,"Manhattan, NY",East
10256,"Manhattan, NY",East
10257,"Manhattan, NY",East
10258,"Manhattan, NY",East
10259,"Manhattan, NY",East
10260,"Manhattan, NY",East
10261,"Manhattan, NY",East
10265,"Manhattan, NY",East
10268,"Manhattan, NY",East
10269,"Manhattan, NY",East
10270,"Manhattan, NY",East
10271,"Manhattan, NY",East
10272,"Manhattan, NY",East
10273,"Manhattan, NY",East
10274,"Manhattan, NY",East
10275,"Manhattan, NY",East
10276,"Manhattan, NY",East
10277,"Manhattan, NY",East
10278,"Manhattan, NY",East
10279,"Manhattan, NY",East
10280,"Manhattan, NY",East
10281,"Manhattan, NY",East
10282,"Manhattan, NY",East
10285,"Manhattan, NY",East
10286,"Manhattan, NY",East
11201,"Manhattan, NY",East
11202,"Manhattan, NY",East
11203,"Long Island, NY",East
11204,"Long Island, NY",East
11205,"Long Island, NY",East
11206,"Long Island, NY",East
11209,"Long Island, NY",East
11210,"Long Island, NY",East
11212,"Long Island, NY",East
11213,"Long Island, NY",East
11214,"Long Island, NY",East
11215,"Long Island, NY",East
11216,"Long Island, NY",East
11217,"Manhattan, NY",East
11218,"Long Island, NY",East
11219,"Long Island, NY",East
11220,"Long Island, NY",East
11221,"Long Island, NY",East
11223,"Long Island, NY",East
11224,"Long Island, NY",East
11225,"Long Island, NY",East
11226,"Long Island, NY",East
11228,"Long Island, NY",East
11229,"Long Island, NY",East
11230,"Long Island, NY",East
11231,"Manhattan, NY",East
11232,"Long Island, NY",East
11233,"Long Island, NY",East
11234,"Long Island, NY",East
11235,"Long Island, NY",East
11236,"Long Island, NY",East
11238,"Long Island, NY",East
11241,"Manhattan, NY",East
11242,"Manhattan, NY",East
11243,"Manhattan, NY",East
11245,"Manhattan, NY",East
11247,"Long Island, NY",East
11251,"Long Island, NY",East
11252,"Long Island, NY",East
601,"Miami, FL",South
602,"Miami, FL",South
603,"Miami, FL",South
604,"Miami, FL",South
605,"Miami, FL",South
606,"Miami, FL",South
610,"Miami, FL",South
611,"Miami, FL",South
612,"Miami, FL",South
613,"Miami, FL",South
614,"Miami, FL",South
616,"Miami, FL",South
617,"Miami, FL",South
622,"Miami, FL",South
623,"Miami, FL",South
624,"Miami, FL",South
627,"Miami, FL",South
631,"Miami, FL",South
636,"Miami, FL",South
637,"Miami, FL",South
638,"Miami, FL",South
641,"Miami, FL",South
646,"Miami, FL",South
647,"Miami, FL",South
650,"Miami, FL",South
652,"Miami, FL",South
653,"Miami, FL",South
656,"Miami, FL",South
659,"Miami, FL",South
660,"Miami, FL",South
662,"Miami, FL",South
664,"Miami, FL",South
667,"Miami, FL",South
669,"Miami, FL",South
670,"Miami, FL",South
674,"Miami, FL",South
676,"Miami, FL",South
677,"Miami, FL",South
678,"Miami, FL",South
680,"Miami, FL",South
681,"Miami, FL",South
682,"Miami, FL",South
683,"Miami, FL",South
685,"Miami, FL",South
687,"Miami, FL",South
688,"Miami, FL",South
690,"Miami, FL",South
692,"Miami, FL",South
693,"Miami, FL",South
694,"Miami, FL",South
698,"Miami, FL",South
703,"Miami, FL",South
704,"Miami, FL",South
705,"Miami, FL",South
707,"Miami, FL",South
714,"Miami, FL",South
715,"Miami, FL",South
716,"Miami, FL",South
717,"Miami, FL",South
718,"Miami, FL",South
719,"Miami, FL",South
720,"Miami, FL",South
721,"Miami, FL",South
723,"Miami, FL",South
725,"Miami, FL",South
726,"Miami, FL",South
727,"Miami, FL",South
728,"Miami, FL",South
729,"Miami, FL",South
730,"Miami, FL",South
731,"Miami, FL",South
732,"Miami, FL",South
733,"Miami, FL",South
734,"Miami, FL",South
735,"Miami, FL",South
736,"Miami, FL",South
737,"Miami, FL",South
738,"Miami, FL",South
739,"Miami, FL",South
740,"Miami, FL",South
741,"Miami, FL",South
742,"Miami, FL",South
744,"Miami, FL",South
745,"Miami, FL",South
751,"Miami, FL",South
754,"Miami, FL",South
757,"Miami, FL",South
765,"Miami, FL",South
766,"Miami, FL",South
767,"Miami, FL",South
769,"Miami, FL",South
771,"Miami, FL",South
772,"Miami, FL",South
773,"Miami, FL",South
775,"Miami, FL",South
777,"Miami, FL",South
778,"Miami, FL",South
780,"Miami, FL",South
782,"Miami, FL",South
783,"Miami, FL",South
784,"Miami, FL",South
785,"Miami, FL",South
786,"Miami, FL",South
791,"Miami, FL",South
792,"Miami, FL",South
794,"Miami, FL",South
795,"Miami, FL",South
901,"Miami, FL",South
902,"Miami, FL",South
906,"Miami, FL",South
907,"Miami, FL",South
908,"Miami, FL",South
909,"Miami, FL",South
910,"Miami, FL",South
911,"Miami, FL",South
912,"Miami, FL",South
913,"Miami, FL",South
914,"Miami, FL",South
915,"Miami, FL",South
916,"Miami, FL",South
917,"Miami, FL",South
918,"Miami, FL",South
919,"Miami, FL",South
920,"Miami, FL",South
921,"Miami, FL",South
922,"Miami, FL",South
923,"Miami, FL",South
924,"Miami, FL",South
925,"Miami, FL",South
926,"Miami, FL",South
927,"Miami, FL",South
928,"Miami, FL",South
929,"Miami, FL",South
930,"Miami, FL",South
931,"Miami, FL",South
933,"Miami, FL",South
934,"Miami, FL",South
935,"Miami, FL",South
936,"Miami, FL",South
937,"Miami, FL",South
939,"Miami, FL",South
940,"Miami, FL",South
949,"Miami, FL",South
950,"Miami, FL",South
951,"Miami, FL",South
952,"Miami, FL",South
953,"Miami, FL",South
954,"Miami, FL",South
955,"Miami, FL",South
956,"Miami, FL",South
957,"Miami, FL",South
958,"Miami, FL",South
959,"Miami, FL",South
960,"Miami, FL",South
961,"Miami, FL",South
962,"Miami, FL",South
963,"Miami, FL",South
965,"Miami, FL",South
966,"Miami, FL",South
968,"Miami, FL",South
969,"Miami, FL",South
970,"Miami, FL",South
971,"Miami, FL",South
975,"Miami, FL",South
976,"Miami, FL",South
977,"Miami, FL",South
978,"Miami, FL",South
979,"Miami, FL",South
981,"Miami, FL",South
982,"Miami, FL",South
983,"Miami, FL",South
984,"Miami, FL",South
985,"Miami, FL",South
986,"Miami, FL",South
987,"Miami, FL",South
988,"Miami, FL",South
33001,"Miami, FL",South
33002,"Miami, FL",South
33004,"Miami, FL",South
33008,"Miami, FL",South
33009,"Miami, FL",South
33010,"Miami, FL",South
33011,"Miami, FL",South
33012,"Miami, FL",South
33013,"Miami, FL",South
33014,"Miami, FL",South
33015,"Miami, FL",South
33016,"Miami, FL",South
33017,"Miami, FL",South
33018,"Miami, FL",South
33019,"Miami, FL",South
33020,"Miami, FL",South
33021,"Miami, FL",South
33022,"Miami, FL",South
33023,"Miami, FL",South
33024,"Miami, FL",South
33025,"Miami, FL",South
33026,"Miami, FL",South
33027,"Miami, FL",South
33028,"Miami, FL",South
33029,"Miami, FL",South
33030,"Miami, FL",South
33031,"Miami, FL",South
33032,"Miami, FL",South
33033,"Miami, FL",South
33034,"Miami, FL",South
33035,"Miami, FL",South
33036,"Miami, FL",South
33037,"Miami, FL",South
33039,"Miami, FL",South
33040,"Miami, FL",South
33041,"Miami, FL",South
33042,"Miami, FL",South
33043,"Miami, FL",South
33045,"Miami, FL",South
33050,"Miami, FL",South
33051,"Miami, FL",South
33052,"Miami, FL",South
33054,"Miami, FL",South
33055,"Miami, FL",South
33056,"Miami, FL",South
33060,"Miami, FL",South
33061,"Miami, FL",South
33062,"Miami, FL",South
33063,"Miami, FL",South
33064,"Miami, FL",South
33065,"Miami, FL",South
33066,"Miami, FL",South
33068,"Miami, FL",South
33069,"Miami, FL",South
33070,"Miami, FL",South
33071,"Miami, FL",South
33072,"Miami, FL",South
33074,"Miami, FL",South
33075,"Miami, FL",South
33077,"Miami, FL",South
33081,"Miami, FL",South
33082,"Miami, FL",South
33083,"Miami, FL",South
33084,"Miami, FL",South
33090,"Miami, FL",South
33092,"Miami, FL",South
33093,"Miami, FL",South
33101,"Miami, FL",South
33102,"Miami, FL",South
33106,"Miami, FL",South
33109,"Miami, FL",South
33111,"Miami, FL",South
33112,"Miami, FL",South
33114,"Miami, FL",South
33116,"Miami, FL",South
33119,"Miami, FL",South
33122,"Miami, FL",South
33124,"Miami, FL",South
33125,"Miami, FL",South
33126,"Miami, FL",South
33127,"Miami, FL",South
33128,"Miami, FL",South
33129,"Miami, FL",South
33130,"Miami, FL",South
33131,"Miami, FL",South
33132,"Miami, FL",South
33133,"Miami, FL",South
33134,"Miami, FL",South
33135,"Miami, FL",South
33136,"Miami, FL",South
33137,"Miami, FL",South
33138,"Miami, FL",South
33139,"Miami, FL",South
33140,"Miami, FL",South
33141,"Miami, FL",South
33142,"Miami, FL",South
33143,"Miami, FL",South
33144,"Miami, FL",South
33145,"Miami, FL",South
33146,"Miami, FL",South
33147,"Miami, FL",South
33149,"Miami, FL",South
33150,"Miami, FL",South
33151,"Miami, FL",South
33152,"Miami, FL",South
33153,"Miami, FL",South
33154,"Miami, FL",South
33155,"Miami, FL",South
33156,"Miami, FL",South
